# CardIndex ledger — assigned once, never reused, never reordered.
#
# A card's index is its permanent rules identity: DeckEntry stores one, the
# gateway persists decks made of them, and a replay names them. So this file
# is append-only. A new card takes the next free index; a card that leaves the
# corpus retires its own and the slot stays empty.
#
# Indices are assigned by first appearance over the whole card corpus, not
# over the cards this repo implements — so adopting an old card inserts
# nothing. The order is written down rather than recomputed, because what it
# derives from (release dates, the corpus filter, Scryfall's own errata) is
# not a constant.
#
# index, oracle_id, const and set are FROZEN: the workspace names them.
# name follows Scryfall, so a rename shows in the diff.
#
# Seeded by `baylee-catalog corpus` + `cargo xtask ledger`; read by
# `cargo xtask codegen`, which never assigns. `codegen --check` fails if a run
# would change this file, so no index is assigned outside a commit.
#
# index	oracle_id	const	set	name
0	7744bae4-a8b7-44a5-9b4c-0048ad4cc448	AIR_ELEMENTAL	lea	Air Elemental
1	550c74d4-1fcb-406a-b02a-639a760a4380	ANCESTRAL_RECALL	lea	Ancestral Recall
2	2dd7a4dc-902a-4e85-8a3b-c96a898fba86	ANIMATE_ARTIFACT	lea	Animate Artifact
3	c0d8fef4-65f4-4769-982d-b397d2b7e977	ANIMATE_DEAD	lea	Animate Dead
4	c7a6a165-b709-46e0-ae42-6f69a17c0621	ANIMATE_WALL	lea	Animate Wall
5	63c1eda1-3e6f-4e9c-adf3-a43164df98bb	ANKH_OF_MISHRA	lea	Ankh of Mishra
6	c9ed8b01-959a-47d6-891e-0abbdccf6e4f	ARMAGEDDON	lea	Armageddon
7	77b7277d-90a1-4774-a998-8c35c3f94e4a	ASPECT_OF_WOLF	lea	Aspect of Wolf
8	fc5d3341-cbce-49e5-93cc-8add92479dca	BAD_MOON	lea	Bad Moon
9	13ff3222-91cb-4796-a34e-899ed817694c	BADLANDS	lea	Badlands
10	17fa98cd-ed8f-483f-9525-7e989a82ebb2	BALANCE	lea	Balance
11	6b8cf2a0-b045-4d91-9d91-c602d40c6237	BASALT_MONOLITH	lea	Basalt Monolith
12	b76d1ae6-ad1d-4bac-b4c3-2e03e0e84d9b	BAYOU	lea	Bayou
13	4c81cfb7-8765-4e28-ae33-4287fa9a86cc	BENALISH_HERO	lea	Benalish Hero
14	8b67d192-9a05-4a47-82ae-5fc4b7834d88	BERSERK	lea	Berserk
15	d3a0b660-358c-41bd-9cd2-41fbf3491b1a	BIRDS_OF_PARADISE	lea	Birds of Paradise
16	9456c5b6-946d-403a-8ed0-dff9f921d98c	BLACK_KNIGHT	lea	Black Knight
17	5089ec1a-f881-4d55-af14-5d996171203b	BLACK_LOTUS	lea	Black Lotus
18	de7839fb-7040-48ab-a6d4-d1952972943d	BLACK_VISE	lea	Black Vise
19	7861ac9b-3024-4935-804c-2ca4c5a46bf4	BLACK_WARD	lea	Black Ward
20	b330ac89-790e-4cc9-96a5-532c48252088	BLAZE_OF_GLORY	lea	Blaze of Glory
21	5c84d8da-2bfb-4618-89a0-7d9ed604e854	BLESSING	lea	Blessing
22	65e1558c-6b09-4ddc-b520-f19f4fb972af	BLUE_ELEMENTAL_BLAST	lea	Blue Elemental Blast
23	fc0bf1d0-46a2-4305-ab2e-466d79d60ab2	BLUE_WARD	lea	Blue Ward
24	508248d1-09a4-4e41-a4c9-286618e5061e	BOG_WRAITH	lea	Bog Wraith
25	9908e597-9470-4c13-8387-39431b380138	BRAINGEYSER	lea	Braingeyser
26	d6b9b88b-e31b-4b88-9d53-3df5687804ba	BURROWING	lea	Burrowing
27	9cf44db4-627a-4197-9588-6da72e41f03d	CAMOUFLAGE	lea	Camouflage
28	f3179c3c-7e53-44d2-b579-b9e677efe9d9	CASTLE	lea	Castle
29	eb228a6c-bceb-45c3-a258-3f209682e1c6	CELESTIAL_PRISM	lea	Celestial Prism
30	d1b815d1-2848-40d4-a555-66822d1becbc	CHANNEL	lea	Channel
31	edb455f4-8dc9-4b7c-b25c-cb51b7dfbb41	CHAOS_ORB	lea	Chaos Orb
32	08842aa3-f923-46e9-a106-f542331e9cc1	CHAOSLACE	lea	Chaoslace
33	d7572f17-f85d-45c0-ac64-43aac760eafe	CIRCLE_OF_PROTECTION_BLUE	lea	Circle of Protection: Blue
34	41b0f347-1398-4778-bf3f-4007d8a77162	CIRCLE_OF_PROTECTION_GREEN	lea	Circle of Protection: Green
35	df2738fe-9cd1-4347-8808-105fcfde1190	CIRCLE_OF_PROTECTION_RED	lea	Circle of Protection: Red
36	5f46f86a-9779-4ed3-99cb-76a03d380598	CIRCLE_OF_PROTECTION_WHITE	lea	Circle of Protection: White
37	eb97c8db-ac6c-476c-b14d-87785e9c82f0	CLOCKWORK_BEAST	lea	Clockwork Beast
38	42226b87-0746-4ebf-9fd0-108d508462af	CLONE	lea	Clone
39	af354337-424c-4c7e-8ca5-6149261368d2	COCKATRICE	lea	Cockatrice
40	4627691c-4ed4-4add-9cc3-2e019be2f9fd	CONSECRATE_LAND	lea	Consecrate Land
41	1940e56d-0972-4ca4-946c-bbd42dde1dcb	CONSERVATOR	lea	Conservator
42	9e0ed4b0-28b5-44be-ab83-f1e8eb07138d	CONTRACT_FROM_BELOW	lea	Contract from Below
43	cd0d7141-46d2-4aa3-bc77-6b3b4513803e	CONTROL_MAGIC	lea	Control Magic
44	a24e05fb-dffb-4400-b4ca-22fdde45e7a7	CONVERSION	lea	Conversion
45	16d1023b-2162-4010-8bf4-218dbe7c99a0	COPPER_TABLET	lea	Copper Tablet
46	80bc56a9-40e0-48da-ae86-190e39c8a4a3	COPY_ARTIFACT	lea	Copy Artifact
47	cc187110-1148-4090-bbb8-e205694a39f5	COUNTERSPELL	lea	Counterspell
48	6a462a69-3e42-41de-a3aa-a488d9f38d69	CRAW_WURM	lea	Craw Wurm
49	70492e32-ba4d-4314-b016-892fb15f7a23	CREATURE_BOND	lea	Creature Bond
50	4692740f-be90-459f-8d90-c4ae71771595	CRUSADE	lea	Crusade
51	e68bc048-1009-46a5-97d6-ec77a18067da	CRYSTAL_ROD	lea	Crystal Rod
52	0d61239f-28e4-4adb-8f6e-b56e9c8699af	CURSED_LAND	lea	Cursed Land
53	1edee40f-d153-4d67-aee7-ef08e11e4a79	CYCLOPEAN_TOMB	lea	Cyclopean Tomb
54	53f7c868-b03e-4fc2-8dcf-a75bbfa3272b	DARK_RITUAL	lea	Dark Ritual
55	74f10b9a-a286-49b2-bfa1-a427ff041bd4	DARKPACT	lea	Darkpact
56	0544b707-ec67-43e3-a25d-fd7005ab673d	DEATH_WARD	lea	Death Ward
57	20ae75a7-14ca-4366-af0a-3f3f02159f3f	DEATHGRIP	lea	Deathgrip
58	fb80aaba-352a-4b58-8db2-1e02d542819c	DEATHLACE	lea	Deathlace
59	65a9f643-063f-406a-8d5a-5ebbe0f04c3d	DEMONIC_ATTORNEY	lea	Demonic Attorney
